Colon,Segment,Phantom Number,Video Number ,Video Name,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c1,ascending,t1,v1,c1_ascending_t1_v1,20.0,2.0,5.0,no,no,no,zigzag,,3.0,-1.4156,SNxHcXeiwGU,282
c1,ascending,t1,v2,c1_ascending_t1_v2,15.0,2.0,5.0,no,no,no,loop,Pendulum motion with forward translation. Same start and end.,3.0,-1.2866,TzvtE8eRCvE,454
c1,ascending,t2,v1,c1_ascending_t2_v1,17.0,2.0,6.0,no,no,no,zigzag,"zigzag side by side, then straight up",2.0,0.2027,CW1AuVdesqw,374
c1,ascending,t2,v2,c1_ascending_t2_v2,12.0,2.0,6.0,no,no,no,loop,"majorly straight line, back to same point",2.0,0.5339,sQ1glZ7wiZE,412
c1,ascending,t2,v3,c1_ascending_t2_v3,12.0,2.0,6.0,yes,no,no,loop,fecal debris  foam,2.0,,CENEBbKA3HU,412
c1,ascending,t3,v1,c1_ascending_t3_v1,26.0,3.0,4.0,no,no,yes,fast ; zigzag,zizag motion,1.0,0.2382,43Bnm7YG0Ho,259
c1,ascending,t3,v2,c1_ascending_t3_v2,12.0,3.0,4.0,no,no,yes,exploratory,exploratory motion,1.0,0.4615,qG2d-QhPgIU,680
c1,ascending,t3,v3,c1_ascending_t3_v3,12.0,3.0,4.0,yes,no,yes,exploratory,yellow fecal matter,1.0,,PIUWKDFm15Q,680
c1,ascending,t4,v1,c1_ascending_t4_v1,10.0,3.0,0.0,no,no,no,,,1.0,0.7983,bgn25JzbQTQ,410
c1,ascending,t4,v2,c1_ascending_t4_v2,10.0,3.0,0.0,no,no,yes,,straight and oscillatory motion,1.0,1.003,V9G4WhuZER4,694
c1,ascending,t4,v3,c1_ascending_t4_v3,10.0,3.0,0.0,yes,no,yes,,fecal debris yellow,1.0,,FYHJbfrK5kg,694
c1,ascending,t4,v4,c1_ascending_t4_v4,10.0,3.0,0.0,yes,yes,no,straight  line,in and out motion,,,HsF5--uFsD0,334
c1,cecum,t1,v1,c1_cecum_t1_v1,61.0,3.0,-1.0,no,no,no,loop ; fast ,Fast looping back to first point,1.0,-0.2671,JOeEqDqtsN4,218
c1,cecum,t1,v2,c1_cecum_t1_v2,40.0,3.0,8.0,no,no,no,zigzag; water on lens; fast,water on lens next to ICV. Fast exploratory movement,1.0,0.2686,uEZUZ2DQwa8,423
c1,cecum,t1,v3,c1_cecum_t1_v3,40.0,3.0,8.0,yes,no,no,zigzag; water on lens; fast,water on lens next to ICV. Fast exploratory movement,1.0,,LdZK62gQtfQ,423
c1,cecum,t1,v4,c1_cecum_t1_v4,10.0,3.0,8.0,yes,yes,no,straight line; saturation; cyclical,straight up and down loop with compression. Light saturation on the side,,,LCPLj9rk-qM,602
c1,cecum,t2,v1,c1_cecum_t2_v1,18.0,3.0,8.0,no,no,no,polyp; saturation,towards the polyp; oscillatory motion; ICV,1.0,1.0774,XmjblA1svwk,281
c1,cecum,t2,v2,c1_cecum_t2_v2,22.0,3.0,8.0,no,no,no,exploratory ; polyp,exploratory motion; ICV,1.0,1.3243,RToIHqYkN6I,328
c1,cecum,t2,v3,c1_cecum_t2_v3,22.0,3.0,8.0,yes,no,no,exploratory ; polyp,"foam, fecal debris; ICV",1.0,,ypkbJxaIej0,328
c1,cecum,t3,v2,c1_cecum_t3_v2,9.0,2.0,-8.0,no,no,no,polyp; zigzag,ladder zigzag; ICV,1.0,0.166,AaPUG7e21kI,721
c1,cecum,t3,v3,c1_cecum_t3_v3,9.0,2.0,-8.0,yes,no,no,polyp; zizag,"blood pool, foam, iCV",1.0,,1o0WQ1fmXIs,721
c1,cecum,t4,v1,c1_cecum_t4_v1,9.0,3.0,4.0,no,no,no,,ICV,1.0,-0.4962,Cf-gd-Z2SEw,866
c1,cecum,t4,v2,c1_cecum_t4_v2,9.0,3.0,4.0,no,no,no,,"towards ICV, wait in the middle",1.0,-0.8478,lGEzUZfzg58,959
c1,cecum,t4,v3,c1_cecum_t4_v3,9.0,3.0,4.0,yes,no,no,water jet,"towards ICV, yellow foam, fecal debris",1.0,,Tr17QZFmwKE,959
c1,descending,t1,v1,c1_descending_t1_v1,22.0,2.0,8.0,no,no,yes,saturation,,1.0,1.16,ByEInBvnYo0,123
c1,descending,t1,v2,c1_descending_t1_v2,20.0,2.0,8.0,no,no,yes,loop; saturation,back to start point,1.0,1.4549,H_sGijReE90,208
c1,descending,t1,v3,c1_descending_t1_v3,20.0,2.0,8.0,yes,no,yes,loop; saturation,back to start point,1.0,,G4hGjHT9H9s,208
c1,descending,t2,v2,c1_descending_t2_v2,10.0,2.0,3.0,no,no,yes,,straight and oscillatory motion,1.0,1.1961,xkaaFsmrYHY,617
c1,descending,t2,v3,c1_descending_t2_v3,10.0,2.0,3.0,yes,no,yes,,"straight and oscillatory motion, blood",2.0,,yhWPrbaJIME,617
c1,descending,t3,v1,c1_descending_t3_v1,18.0,2.0,2.0,no,no,yes,,"almost straight line, added light red debris for texture",1.0,0.6179,Ntm5d8xP9Tk,239
c1,descending,t3,v2,c1_descending_t3_v2,14.0,2.0,2.0,no,no,yes,,,1.0,0.458,YoS0dPyTKRU,342
c1,descending,t3,v3,c1_descending_t3_v3,14.0,2.0,2.0,yes,no,yes,,yellow foam flowing,1.0,,MOObNN7pn_A,342
c1,descending,t4,v1,c1_descending_t4_v1,18.0,3.0,0.0,no,no,yes,,,1.0,0.4362,FVqoeB0TMIs,192
c1,descending,t4,v2,c1_descending_t4_v2,15.0,3.0,0.0,no,no,yes,,,1.0,1.0279,d6_rrrQDHr0,279
c1,descending,t4,v3,c1_descending_t4_v3,15.0,3.0,0.0,yes,no,yes,,blood & foam on wall,1.0,,d3uqHGwvgyk,279
c1,descending,t4,v4,c1_descending_t4_v4,15.0,3.0,0.0,yes,yes,yes,straight  line,walls partially close,,,Hjj0QitaeMQ,361
c1,full,t1,v1,c1_full_t1_v1,,2.0,,yes,,no,polyp ;  water on lens ; debris on lens ; suction ; textureless enface ; saturation; exploratory,,,,y5-YDWNOaOs,11000
c1,full,t2,v1,c1_full_t2_v1,,2.0,,yes,,no,water on lens ; debris on lens ; suction ; textureless enface ; saturation; exploratory,,,,DPeTP4GxTxg,13800
c1,full,t3,v1,c1_full_t3_v1,,2.0,,yes,,no,water on lens; polyp;  textureless surface; saturation; exploratory,,,,3RUrkdbG1dU,12200
c1,full,t4,v1,c1_full_t4_v1,,2.0,,yes,,no,polyp; water on lens; suction; textureless surface; exploratory; saturation,,,,COW-fAm90wE,8400
c1,rectum,t1,v1,c1_rectum_t1_v1,25.0,1.0,0.0,no,no,no,loop,in and out motion,1.0,0.6343,6qI7m6AHFvA,206
c1,rectum,t1,v2,c1_rectum_t1_v2,16.0,1.0,0.0,no,no,no,zigzag,oscillatory motion,1.0,0.66,kBGBt-HXE0s,383
c1,rectum,t1,v3,c1_rectum_t1_v3,16.0,1.0,0.0,yes,no,no,zigzag,mucous pool and fecal debris,1.0,,iUbjm8lc_XE,383
c1,rectum,t2,v1,c1_rectum_t2_v1,19.0,3.0,3.0,no,no,no,loop,"almost straight line, back to same point",2.0,-1.0436,1kDgLMC5_kw,165
c1,rectum,t2,v2,c1_rectum_t2_v2,14.0,3.0,3.0,no,no,no,zigzag,exploratory motion,2.0,-1.1795,0nnV0uikO7Y,366
c1,rectum,t2,v3,c1_rectum_t2_v3,14.0,3.0,3.0,no,no,no,zigzag,exploratory motion,2.0,,qYcTgoYMlIE,366
c1,rectum,t3,v1,c1_rectum_t3_v1,31.0,3.0,4.0,no,no,no,fast,,1.0,0.1472,54ztxVKAByo,247
c1,rectum,t3,v2,c1_rectum_t3_v2,23.0,3.0,-3.0,no,no,no,zigzag,,1.0,0.099,KJ5wkdcpoac,220
c1,rectum,t3,v3,c1_rectum_t3_v3,23.0,3.0,-3.0,yes,no,no,zigzag,"red debris, foam",1.0,,mLNsoW13WS4,220
c1,rectum,t4,v1,c1_rectum_t4_v1,12.0,3.0,-4.0,no,no,no,,backup and forward,2.0,0.1515,PNmwyj9dw4w,324
c1,rectum,t4,v2,c1_rectum_t4_v2,9.0,3.0,-4.0,no,no,no,,withdrawal with oscillatory motion,3.0,-0.5389,CzzXGbyYKac,457
c1,rectum,t4,v3,c1_rectum_t4_v3,9.0,3.0,-4.0,yes,no,no,,"fecal debris, withdrawal with oscillatory motion",3.0,,OmG4PL9lPIw,457
c1,rectum,t4,v4,c1_rectum_t4_v4,0.0,3.0,-4.0,yes,yes,no,,stationary camera,,,ejIyop8nGRk,240
c1,sigmoid1,t1,v1,c1_sigmoid1_t1_v1,30.0,2.0,2.0,no,no,no,zigzag; fast,,1.0,1.722,lZ6BQfN0kuY,191
c1,sigmoid1,t1,v2,c1_sigmoid1_t1_v2,30.0,2.0,2.0,no,no,no,fast ; textureless enface; saturation,en face on a texture less surface,1.0,0.8981,jFERxLlLhyU,307
c1,sigmoid1,t1,v3,c1_sigmoid1_t1_v3,30.0,2.0,2.0,yes,no,no,fast ; debris on lens ; water on lens,scope dips in mucous pool & lens cleaning there after,1.0,,cz5aTlvfG2c,307
c1,sigmoid1,t1,v4,c1_sigmoid1_t1_v4,0.0,0.0,0.0,yes,yes,no,,stationary camera,,,Fz-jxS1n950,787
c1,sigmoid1,t2,v1,c1_sigmoid1_t2_v1,12.0,3.0,-2.0,no,no,yes,,Side to side movement,2.0,-1.0434,1JDPSUAE2Jk,354
c1,sigmoid1,t2,v2,c1_sigmoid1_t2_v2,16.0,3.0,7.0,no,no,yes,loop ; textureless surface; saturation,first half and and second half of the video has the same waypoints,3.0,-0.0947,L-16CZi1Nio,286
c1,sigmoid1,t2,v3,c1_sigmoid1_t2_v3,16.0,3.0,7.0,yes,no,yes,loop; saturation,fov covered by mucous pool & fecal debris in the middle of videos,3.0,,qV1VrmmxeTI,286
c1,sigmoid1,t3,v1,c1_sigmoid1_t3_v1,11.0,3.0,-2.0,no,no,yes,,,1.0,-0.2262,ESR8l8eHrN0,330
c1,sigmoid1,t3,v2,c1_sigmoid1_t3_v2,15.0,3.0,-2.0,no,no,yes,textureless enface,side to side movement,2.0,-0.8633,uqTh9y03szc,464
c1,sigmoid1,t3,v3,c1_sigmoid1_t3_v3,15.0,3.0,-2.0,yes,no,yes,,blood pool covers the entire fov,2.0,,XzA56ACBlLc,464
c1,sigmoid1,t4,v1,c1_sigmoid1_t4_v1,10.0,3.0,0.0,no,no,yes,loop,,3.0,-1.4099,nzFHSttnBnk,447
c1,sigmoid1,t4,v2,c1_sigmoid1_t4_v2,7.0,3.0,0.0,no,no,yes,textureless enface,wait in between; enface to down the barrel,3.0,-1.0102,MaRks7jdGsc,708
c1,sigmoid1,t4,v3,c1_sigmoid1_t4_v3,7.0,3.0,0.0,yes,no,yes,water jet,"water jet, cleaning foam, enface to down the barrel",3.0,,Lg3KMemKUxk,708
c1,sigmoid1,t4,v4,c1_sigmoid1_t4_v4,7.0,3.0,0.0,yes,yes,no,straight  line,,,,XQED3z9kAk4,297
c1,sigmoid2,t1,v1,c1_sigmoid2_t1_v1,25.0,2.0,-3.0,no,no,yes,,,1.0,0.2442,fbw8tLZLqUo,132
c1,sigmoid2,t1,v2,c1_sigmoid2_t1_v2,18.0,2.0,-3.0,no,no,yes,zigzag,,1.0,0.8931,Ijv0r22hHSc,152
c1,sigmoid2,t1,v3,c1_sigmoid2_t1_v3,18.0,2.0,-3.0,yes,no,yes,zigzag,flowing blood foam,1.0,,oylnZBm_1-0,152
c1,sigmoid2,t2,v1,c1_sigmoid2_t2_v1,10.0,3.0,4.0,no,no,yes,saturation,,1.0,0.4829,U3fwSpPilaU,400
c1,sigmoid2,t2,v2,c1_sigmoid2_t2_v2,15.0,3.0,4.0,no,no,yes,saturation,,1.0,-0.8085,isWmc6sUDdg,239
c1,sigmoid2,t2,v3,c1_sigmoid2_t2_v3,15.0,3.0,4.0,yes,no,yes,saturation,blood,1.0,,UsaHXU27spg,239
c1,sigmoid2,t3,v1,c1_sigmoid2_t3_v1,9.0,1.0,-2.0,no,no,yes,,,1.0,0.8146,UAwmLFS9Pdo,255
c1,sigmoid2,t3,v2,c1_sigmoid2_t3_v2,12.0,1.0,-2.0,no,no,yes,,,1.0,1.5916,EFsUHooJPHY,243
c1,sigmoid2,t3,v3,c1_sigmoid2_t3_v3,12.0,1.0,-2.0,yes,no,yes,,dry fecal debris,1.0,,23PmxgasD2g,243
c1,sigmoid2,t4,v1,c1_sigmoid2_t4_v1,10.0,3.0,4.0,no,no,yes,,,1.0,0.774,V-VPmiHOzXE,390
c1,sigmoid2,t4,v2,c1_sigmoid2_t4_v2,10.0,3.0,4.0,no,no,yes,,,1.0,0.8847,jKmvNcw7Ay0,428
c1,sigmoid2,t4,v3,c1_sigmoid2_t4_v3,10.0,3.0,4.0,yes,no,yes,,yellow fecal debris & foam,1.0,,oTFIAJMj4pE,428
c1,sigmoid2,t4,v4,c1_sigmoid2_t4_v4,10.0,3.0,4.0,yes,yes,yes,straight  line,in and out motion,,,LWTU0TXDl4I,288
c1,transverse1,t1,v1,c1_transverse1_t1_v1,20.0,3.0,-3.0,no,no,yes,,,1.0,-0.5916,mZh01rTd5HY,156
c1,transverse1,t1,v2,c1_transverse1_t1_v2,20.0,3.0,0.0,no,no,yes,,down the barrel,1.0,-0.1465,8l7qH4WWv0g,117
c1,transverse1,t1,v3,c1_transverse1_t1_v3,20.0,3.0,0.0,yes,no,yes,,red debris,2.0,,QcZHNhEgdJ4,117
c1,transverse1,t1,v4,c1_transverse1_t1_v4,7.0,3.0,0.0,yes,yes,yes,straight line; cyclical,"straight line motion, in & out",,,zFu6kaXnnY0,622
