Video Name,n_faces,total_area_mm2,n_observed_faces,n_unobserved_faces,observed_area_mm2,unobserved_area_mm2,unobserved_frac_by_count,unobserved_frac_by_area,n_unobserved_components,comp_area_top1_mm2,comp_area_top2_mm2,comp_area_top3_mm2,comp_area_top4_mm2,comp_area_top5_mm2,n_components_gt5mm_diam,n_components_gt10mm_diam,largest_component_equiv_diam_mm,Colon,Segment,Phantom Number,Video Number ,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c1_ascending_t1_v1,755902,21699.944480969883,662255,93647,19058.394911444448,2641.549569525437,0.12388775264518416,0.1217307063546631,153,1266.0631597032097,739.0979043740206,257.70584452002925,172.9385599227236,145.41146728625844,6,5,40.14974073473547,c1,ascending,t1,v1,20.0,2.0,5.0,no,no,no,zigzag,,3.0,-1.4156,SNxHcXeiwGU,282
c1_ascending_t1_v2,755902,21699.944480969883,654824,101078,18849.121640210404,2850.8228407594793,0.13371839206669647,0.13137466057848923,105,684.9936663379556,664.9193476224049,641.6142328926239,260.0255237206468,222.55197856235998,7,7,29.53237247284086,c1,ascending,t1,v2,15.0,2.0,5.0,no,no,no,loop,Pendulum motion with forward translation. Same start and end.,3.0,-1.2866,TzvtE8eRCvE,454
c1_ascending_t2_v1,838043,24047.657885991022,623980,214063,17944.349129905357,6103.308756085665,0.2554320005059406,0.25380054827048876,87,3235.121860494174,2341.6283006894905,317.45541446958714,137.996146292425,68.74151829771071,5,4,64.18009882213002,c1,ascending,t2,v1,17.0,2.0,6.0,no,no,no,zigzag,"zigzag side by side, then straight up",2.0,0.2027,CW1AuVdesqw,374
c1_ascending_t2_v2,755902,21699.944422835244,609625,146277,17556.816976260918,4143.127446574326,0.19351318027998338,0.19092802109734613,71,2935.47383550834,744.3635259946751,266.3880515232162,145.22225041541313,49.81722813401409,5,4,61.13559822153228,c1,ascending,t2,v2,12.0,2.0,6.0,no,no,no,loop,"majorly straight line, back to same point",2.0,0.5339,sQ1glZ7wiZE,412
c1_ascending_t2_v3,755902,21699.944422835244,609656,146246,17557.47185607836,4142.472566756888,0.19347216967278827,0.19089784222662293,64,2935.1312434765614,744.2417664823535,266.2791724777452,145.62486977440904,49.53596822710143,5,4,61.13203062374134,c1,ascending,t2,v3,12.0,2.0,6.0,yes,no,no,loop,fecal debris  foam,2.0,,CENEBbKA3HU,412
c1_ascending_t3_v1,755902,21699.95639902579,615047,140855,17722.086108456308,3977.8702905694854,0.1863402927892769,0.1833123632795903,145,2840.7158077733575,676.4271808814026,329.3517269246945,126.88334267454218,0.1914992634831333,4,4,60.1407657235201,c1,ascending,t3,v1,26.0,3.0,4.0,no,no,yes,fast ; zigzag,zizag motion,1.0,0.2382,43Bnm7YG0Ho,259
c1_ascending_t3_v2,755902,21699.94022982315,649215,106687,18699.97162900406,2999.9686008190934,0.14113866612338635,0.13824778174716393,109,1770.775876202787,688.1577766691837,326.76163948295664,137.07202441242507,56.099888549923634,5,4,47.48285870126656,c1,ascending,t3,v2,12.0,3.0,4.0,no,no,yes,exploratory,exploratory motion,1.0,0.4615,qG2d-QhPgIU,680
c1_ascending_t3_v3,755902,21699.94022982315,649179,106723,18699.069873417167,3000.8703564059842,0.1411862913446452,0.13828933741862387,105,1769.9726309012444,688.4197809377988,327.75052905608965,137.55195430092635,56.22300937987569,5,4,47.472088080917594,c1,ascending,t3,v3,12.0,3.0,4.0,yes,no,yes,exploratory,yellow fecal matter,1.0,,PIUWKDFm15Q,680
c1_ascending_t4_v1,755902,21699.946785434586,618382,137520,17819.94503312424,3880.0017523103434,0.18192834520877044,0.17880236254379545,73,2627.7537015003913,757.2568004933266,319.0606844051488,154.29651555557632,19.58746252852289,4,4,57.84254426090278,c1,ascending,t4,v1,10.0,3.0,0.0,no,no,no,,,1.0,0.7983,bgn25JzbQTQ,410
c1_ascending_t4_v2,755902,21699.941418322756,512586,243316,14791.305178559349,6908.636239763406,0.32188828710600054,0.31837119310976425,102,5989.066162117895,621.4428342861156,130.99883173962485,120.19188979222056,44.052507178578054,5,4,87.32419981679624,c1,ascending,t4,v2,10.0,3.0,0.0,no,no,yes,,straight and oscillatory motion,1.0,1.003,V9G4WhuZER4,694
